"path","url","status","final_url","content_type","title","meta_description","canonical","robots","h1","h1_count","schema_types","schema_errors","internal_links","content_length","old_copy_hits","placeholder_phone","tel_links","label_count","form_control_count","aria_live"
"/","https://plumbinghands.com/","200","https://plumbinghands.com/","text/html; charset=utf-8","Emergency plumbing help across Dallas-Fort Worth","Request urgent plumbing help across Dallas-Fort Worth for drain, sewer, pipe, toilet, and water-heater problems.","https://plumbinghands.com","index/follow default","Emergency Plumbing Help Across Dallas-Fort Worth","1","BreadcrumbList|FAQPage|Organization|WebPage","0","78","6190","","no","","6","12","no"
"/cities","https://plumbinghands.com/cities","200","https://plumbinghands.com/cities","text/html; charset=utf-8","Dallas-Fort Worth plumbing service areas | Plumbing Hands","Browse Dallas-Fort Worth service-area pages for emergency plumbing, drain, sewer, leak, toilet, and water-heater help.","https://plumbinghands.com/cities","index/follow default","Emergency plumbing help by DFW location","1","BreadcrumbList|Organization|WebPage","0","66","5355","","no","","0","0","no"
"/blog","https://plumbinghands.com/blog","200","https://plumbinghands.com/blog","text/html; charset=utf-8","Emergency plumbing guides | Plumbing Hands","Practical emergency plumbing, drain, sewer, cost, and decision guides for Dallas-Fort Worth homeowners.","https://plumbinghands.com/blog","index/follow default","Emergency plumbing guides","1","BreadcrumbList|FAQPage|Organization|WebPage","0","75","10527","","no","","0","0","no"
"/faq","https://plumbinghands.com/faq","200","https://plumbinghands.com/faq","text/html; charset=utf-8","Emergency plumbing and drain cleaning FAQ | Plumbing Hands","Answer-ready FAQ hub for urgent plumbing, drain, sewer, cost, and provider connection questions.","https://plumbinghands.com/faq","index/follow default","Emergency plumbing and drain cleaning FAQ","1","BreadcrumbList|FAQPage|Organization|WebPage","0","41","4060","","no","","0","0","no"
"/contact","https://plumbinghands.com/contact","200","https://plumbinghands.com/contact","text/html; charset=utf-8","Request urgent plumbing help | Plumbing Hands","Contact page for Dallas-Fort Worth emergency plumbing and drain cleaning service requests.","https://plumbinghands.com/contact","index/follow default","Request urgent plumbing help","1","BreadcrumbList|Organization|WebPage","0","33","1888","","no","","6","12","no"
"/partner-with-us","https://plumbinghands.com/partner-with-us","200","https://plumbinghands.com/partner-with-us","text/html; charset=utf-8","Provider partner inquiries | Plumbing Hands","Partner inquiry page for plumbing providers and service partners in Dallas-Fort Worth.","https://plumbinghands.com/partner-with-us","index/follow default","Provider partner inquiries","1","BreadcrumbList|Organization|WebPage","0","32","2117","","no","","15","22","no"
"/privacy","https://plumbinghands.com/privacy","200","https://plumbinghands.com/privacy","text/html; charset=utf-8","Privacy policy | Plumbing Hands","Privacy policy for the Dallas-Fort Worth emergency plumbing service request website.","https://plumbinghands.com/privacy","index/follow default","Privacy policy","1","BreadcrumbList|Organization|WebPage","0","32","1136","","no","","0","0","no"
"/terms","https://plumbinghands.com/terms","200","https://plumbinghands.com/terms","text/html; charset=utf-8","Terms of use | Plumbing Hands","Terms of use for the Dallas-Fort Worth emergency plumbing service request website.","https://plumbinghands.com/terms","index/follow default","Terms of use","1","BreadcrumbList|Organization|WebPage","0","32","1172","","no","","0","0","no"
"/disclosure","https://plumbinghands.com/disclosure","200","https://plumbinghands.com/disclosure","text/html; charset=utf-8","Provider connection disclosure | Plumbing Hands","Disclosure for the Dallas-Fort Worth emergency plumbing service request website.","https://plumbinghands.com/disclosure","index/follow default","Provider connection disclosure","1","BreadcrumbList|Organization|WebPage","0","32","1399","","no","","0","0","no"
"/services/24-hour-emergency-plumber","https://plumbinghands.com/services/24-hour-emergency-plumber","200","https://plumbinghands.com/services/24-hour-emergency-plumber","text/html; charset=utf-8","24-hour emergency plumber in Dallas-Fort Worth | Plumbing Hands","If water is actively leaking, a drain is backing up, or an essential fixture cannot be used safely, shut off the closest valve when possible and request urgent plumbing help.","https://plumbinghands.com/services/24-hour-emergency-plumber","index/follow default","24-hour emergency plumber in Dallas-Fort Worth","1","BreadcrumbList|FAQPage|Organization|Service|WebPage","0","44","7758","","no","","6","12","no"
