"URL","Question","Original Answer","New Answer","Intent","User Value","Supporting Page","Schema Status","Truthfulness Check","Validation Status"
"/services/main-sewer-line-clog","What details help a main sewer line call get triaged?","No dedicated supporting-cluster FAQ existed.","Share which fixtures react together, whether the outdoor cleanout is overflowing, whether wastewater is visible, and whether heavy rain or recurring backups are involved.","Sewer diagnosis prep","Improves call quality and provider triage.","/problems/water-backing-up-in-shower-and-toilet","Visible FAQ and FAQPage schema","No guarantee or price claim.","Build passed"
"/problems/kitchen-sink-backing-up","When is a kitchen sink backup more than a simple sink clog?","No dedicated supporting-cluster FAQ existed.","It may be more than a simple fixture clog when the dishwasher backs up, nearby drains gurgle, water returns quickly after clearing, or grease-heavy use keeps causing the problem.","Drain diagnosis","Helps users distinguish fixture versus branch/main issue.","/services/emergency-drain-cleaning","Visible FAQ and FAQPage schema","No unsupported claim.","Build passed"
"/problems/outdoor-cleanout-overflowing","Should I open an overflowing outdoor cleanout?","No dedicated supporting-cluster FAQ existed.","Do not remove a cleanout cap if pressure or wastewater is present. Stop indoor water use and request sewer-line guidance instead.","Sewer safety","Reduces unsafe DIY behavior.","/services/main-sewer-line-clog","Visible FAQ and FAQPage schema","Safety guidance only; no credential claim.","Build passed"
"/cost-guides/drain-cleaning-cost-dfw","Why can two drain-cleaning quotes describe different work?","No dedicated supporting-cluster FAQ existed.","One quote may cover a simple fixture clog while another includes main-line access, camera inspection, after-hours timing, or repeat-blockage diagnosis.","Cost comparison","Improves buyer decision quality without exact prices.","/services/emergency-drain-cleaning","Visible FAQ and FAQPage schema","No exact price or guarantee.","Build passed"
"/cost-guides/sewer-line-clog-cost-guide","What sewer-line cost question protects me from unclear scope?","No dedicated supporting-cluster FAQ existed.","Ask whether the visit is for clearing only, diagnosis, camera inspection, cleanup coordination, or repair planning because those can be separate scopes.","Cost scope","Helps users ask better questions before approval.","/problems/water-backing-up-in-shower-and-toilet","Visible FAQ and FAQPage schema","No exact price claim.","Build passed"
"/services/24-hour-emergency-plumber","Selected-page FAQ set","Phase A selected-page FAQs were present.","Reviewed and retained because answers are specific, non-duplicative, and visible on page.","Emergency service selection","Preserves selected-page answer quality.","Phase A selected page","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
"/services/24-hour-emergency-plumber","Generic emergency FAQ set","Generic emergency FAQs were present.","Reviewed and retained where they support the page without replacing specific answers.","Emergency service selection","Keeps common emergency answers available.","Commercial cluster","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
"/services/emergency-drain-cleaning","Selected-page FAQ set","Phase A selected-page FAQs were present.","Reviewed and retained because answers are specific, non-duplicative, and visible on page.","Urgent drain cleaning service selection","Preserves selected-page answer quality.","Phase A selected page","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
"/services/emergency-drain-cleaning","Generic emergency FAQ set","Generic emergency FAQs were present.","Reviewed and retained where they support the page without replacing specific answers.","Urgent drain cleaning service selection","Keeps common emergency answers available.","Commercial cluster","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
"/problems/water-backing-up-in-shower-and-toilet","Selected-page FAQ set","Phase A selected-page FAQs were present.","Reviewed and retained because answers are specific, non-duplicative, and visible on page.","Immediate diagnosis and safety guidance","Preserves selected-page answer quality.","Phase A selected page","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
"/problems/water-backing-up-in-shower-and-toilet","Generic emergency FAQ set","Generic emergency FAQs were present.","Reviewed and retained where they support the page without replacing specific answers.","Immediate diagnosis and safety guidance","Keeps common emergency answers available.","Commercial cluster","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
"/cost-guides/emergency-plumbing-cost-dfw","Selected-page FAQ set","Phase A selected-page FAQs were present.","Reviewed and retained because answers are specific, non-duplicative, and visible on page.","Cost-factor research before booking","Preserves selected-page answer quality.","Phase A selected page","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
"/cost-guides/emergency-plumbing-cost-dfw","Generic emergency FAQ set","Generic emergency FAQs were present.","Reviewed and retained where they support the page without replacing specific answers.","Cost-factor research before booking","Keeps common emergency answers available.","Commercial cluster","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
"/cities/dallas/emergency-drain-cleaning","Selected-page FAQ set","Phase A selected-page FAQs were present.","Reviewed and retained because answers are specific, non-duplicative, and visible on page.","Local urgent drain cleaning request","Preserves selected-page answer quality.","Phase A selected page","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
"/cities/dallas/emergency-drain-cleaning","Generic emergency FAQ set","Generic emergency FAQs were present.","Reviewed and retained where they support the page without replacing specific answers.","Local urgent drain cleaning request","Keeps common emergency answers available.","Commercial cluster","Visible FAQ and FAQPage schema","No fake claims.","Reviewed in Phase B"
