Root,File,Bytes,Lines
reports,reports/aeo_page_audit.csv,11849,114
reports,reports/analytics_plan.md,360,6
reports,reports/backlink_tracker.csv,120,3
reports,reports/bing_indexing_automation_status.md,514,17
reports,reports/build_status.md,1715,59
reports,reports/buyer_routing_log.csv,344,4
reports,reports/citations.csv,6898,62
reports,reports/codex_phase_report.md,3491,61
reports,reports/content_inventory.csv,13891,114
reports,reports/content_qa_report.csv,14572,114
reports,reports/conversion_design_gap_report.md,910,25
reports,reports/conversion_tracking_plan.md,453,6
reports,reports/day1_foundation_report.md,3968,154
reports,reports/day1_qa_checklist.md,2881,106
reports,reports/day2_internal_linking_report.md,936,19
reports,reports/day2_page_inventory.csv,755,10
reports,reports/day2_remaining_risks.md,1100,33
reports,reports/day2_schema_report.md,767,29
reports,reports/day2_seo_aeo_content_report.md,3175,91
reports,reports/day2_session1_accessibility_review.md,6248,82
reports,reports/day2_session1_eeat_improvements.md,7858,67
reports,reports/day2_session1_internal_link_changes.csv,2968,13
reports,reports/day2_session1_money_page_scores.csv,48006,79
reports,reports/day2_session1_owner_configuration.md,2508,38
reports,reports/day2_session1_page_upgrades.md,10920,102
reports,reports/day2_session1_public_copy_changes.csv,3180,10
reports,reports/day2_session1_schema_improvements.csv,2127,8
reports,reports/day2_session1_selected_pages.md,6206,71
reports,reports/day2_session1_semantic_coverage.md,9529,102
reports,reports/day2_session1_session2_queue.md,3360,80
reports,reports/day2_session1_snippet_improvements.csv,4167,7
reports,reports/day2_session2_cluster_map.csv,1985,11
reports,reports/day2_session2_conversion_path_map.csv,4713,15
reports,reports/day2_session2_conversion_ux_changes.md,857,14
reports,reports/day2_session2_event_dictionary.csv,2259,13
reports,reports/day2_session2_faq_changes.csv,6346,17
reports,reports/day2_session2_final_report.md,1299,37
reports,reports/day2_session2_internal_link_changes.csv,1249,6
reports,reports/day2_session2_phone_and_routing_audit.md,1212,26
reports,reports/day2_session2_tracking_implementation.md,1429,35
reports,reports/day2_sitemap_report.md,952,41
reports,reports/day3_design_before_after_plan.md,911,24
reports,reports/day3_design_improvement_report.md,812,22
reports,reports/day3_launch_qa_report.md,1299,28
reports,reports/day3_mobile_qa_report.md,637,18
reports,reports/day3_premium_design_proposal_for_owner_approval.md,1063,27
reports,reports/day3_remaining_owner_inputs.md,902,27
reports,reports/day3_session1_content_implementation.md,2352,42
reports,reports/day3_session1_final_report.md,1296,45
reports,reports/day3_session1_indexing_support.md,1646,36
reports,reports/day3_session1_new_and_changed_urls.csv,1725,9
reports,reports/day3_session1_priority_queue.md,3534,80
reports,reports/day3_session2_cannibalization_check.csv,939,6
reports,reports/day3_session2_cluster_completion.md,1227,28
reports,reports/day3_session2_conversion_changes.md,478,7
reports,reports/day3_session2_indexing_changes.md,536,13
reports,reports/day3_session2_internal_links.csv,885,7
reports,reports/day3_session2_priority_queue.md,2901,70
reports,reports/day4_session1_bing_manual_actions.md,441,15
reports,reports/day4_session1_canonical_validation.csv,708,9
reports,reports/day4_session1_crawlability_audit.md,1321,24
reports,reports/day4_session1_priority_queue.md,650,17
reports,reports/day4_session1_redirect_validation.csv,259,5
reports,reports/day4_session1_search_console_manual_actions.md,686,16
reports,reports/day4_session1_sitemap_validation.csv,608,9
reports,reports/day4_session2_content_batch.md,538,16
reports,reports/day4_session2_faq_changes.csv,362,4
reports,reports/day4_session2_internal_links.csv,536,5
reports,reports/day4_session2_new_urls.csv,202,3
reports,reports/day4_session2_priority_queue.md,393,16
reports,reports/day4_session2_schema_changes.csv,449,5
reports,reports/day5_session1_priority_queue.md,420,16
reports,reports/day5_session2_priority_queue.md,224,12
reports,reports/day6_session1_authority_launch_support.md,277,10
reports,reports/day6_session1_priority_queue.md,187,11
reports,reports/day6_session2_faq_changes.csv,238,4
reports,reports/day6_session2_indexing_changes.md,352,10
reports,reports/day6_session2_internal_links.csv,493,5
reports,reports/day6_session2_linkable_content.md,414,16
reports,reports/day6_session2_priority_queue.md,220,12
reports,reports/day7_session1_priority_queue.md,191,11
reports,reports/day7_session2_priority_queue.md,212,12
reports,reports/deployment_notes.md,2077,52
reports,reports/final_handoff.md,2138,38
reports,reports/forbidden_terms_scan_report.md,831,23
reports,reports/full_workflow_integration_report.md,2889,82
reports,reports/indexing_setup_status.md,1575,75
reports,reports/indexnow_key_info.md,400,17
reports,reports/indexnow_submission_report.md,7659,126
reports,reports/internal_link_map.csv,4702,34
reports,reports/keyword_map.csv,4050,47
reports,reports/obsolete_softcopy_cleanup_plan.md,772,21
reports,reports/obsolete_softcopy_cleanup_report.md,755,20
reports,reports/outreach.csv,5070,52
reports,reports/page_inventory.csv,17271,114
reports,reports/page_inventory_day1.csv,1990,28
reports,reports/partner_targets.csv,2623,22
reports,reports/phase2_backlink_status.md,967,26
reports,reports/phase2_before_after_comparison.md,555,16
reports,reports/phase2_broken_links.csv,131,3
reports,reports/phase2_closure_report.md,670,29
reports,reports/phase2_completion_matrix.csv,6482,11
reports,reports/phase2_compliance_audit.md,264,11
reports,reports/phase2_conversion_audit.csv,55274,298
reports,reports/phase2_conversion_audit.md,8288,85
reports,reports/phase2_final_audit.md,353,14
reports,reports/phase2_git_status.md,2150,61
reports,reports/phase2_indexing_readiness.md,1068,28
reports,reports/phase2_indexing_readiness_after_repairs.md,3501,57
reports,reports/phase2_internal_link_changes.csv,561,7
reports,reports/phase2_metadata_gaps.csv,39287,255
reports,reports/phase2_metadata_repairs.csv,438,4
reports,reports/phase2_orphan_pages.csv,4039,31
reports,reports/phase2_orphan_resolution.csv,12881,31
reports,reports/phase2_page_inventory.csv,87510,114
reports,reports/phase2_performance_readiness.md,431,14
reports,reports/phase2_redirect_changes.csv,173,3
reports,reports/phase2_remaining_sessions_master_report.md,923,26
reports,reports/phase2_repository_evidence_inventory.csv,10139,195
reports,reports/phase2_schema_gaps.csv,5543,42
reports,reports/phase2_schema_repairs.csv,650,5
reports,reports/phase2_session1_starting_audit.md,3948,95
