"gate","name","status","evidence","blocker","corrected_now"
"2.1","Routes and site architecture","PASS","Source expected 118 URLs; live sitemap 118 paths; missing 0; extra 0; sitemap hosts plumbinghands.com.","","Source inventory confirmed; futureCities are not included in getAllInventoryPages."
"2.2","On-page SEO","PASS","Sampled 25 priority/utility URLs for status, title, meta description, h1, canonical, and JSON-LD parsing.","","SEO metadata helpers retained; no title/canonical rewrite was needed in source."
"2.3","Content uniqueness and public quality","FAILED","Source old-copy hits 0; safety-claim source hits 0; live old-copy sampled hits 4; future placeholder hits 4 are confined to non-indexed futureCities data.","Source or production still had/remediated internal public-copy language; production must be verified after deployment.","Public copy in homepage, cities hub, FAQ, templates, and disclosure was rewritten to customer-facing wording."
"2.4","Internal linking","PASS","Sampled live HTML pages expose internal links, and source routing retains service, city, city-service, problem, cost, blog, FAQ, contact, and partner paths.","","No broken internal link rewrite was required in this strict pass."
"2.5","Technical SEO","PASS","robots 200; sitemap 200; sitemap hosts plumbinghands.com; sampled JSON-LD invalid count 0.","","No schema rating/review claims were added; canonical host remains apex plumbinghands.com."
"2.6","Conversion and form routing","BLOCKED","Source customer/partner forms are separated: yes; live partner separation sample: not verified; owner routing variables blocked/blank: yes; LEAD_WEBHOOK_URL/LEAD_NOTIFY_EMAIL remain owner-provided; no real leads were submitted.","Approved customer lead destination, partner application destination, call tracking number, and end-to-end production submission evidence are not available.","Partner flow remains separated from customer emergency lead flow in source."
"2.7","Accessibility and public quality","NOT_VERIFIABLE","Source forms use labels, required fields, status messages, and semantic buttons. No browser-based Lighthouse, mobile screenshot, screen-reader, or keyboard traversal audit was authorized/run by this script.","Manual/browser accessibility and mobile QA evidence is required.","Awkward public-facing scaffold copy was removed from source."
"2.8","Build, test, and deployment","BLOCKED","Verification commands passing: 5/5. Deployment identifier: NOT VERIFIED. No deployment was performed.","Hosting deployment identifier and production deploy verification remain unavailable.","Strict command log generated with exact verification results."
"3.1","Phase 3 measurement and indexing baseline","BLOCKED","No authenticated Google Search Console, Bing Webmaster, GA4/GTM/Clarity, call-tracking, or lead-quality export/API data exists in the repository.","Owner/account access required.","No ranking, traffic, indexing, CTR, backlink, call, or qualified-lead claims were invented."
"3.2","Phase 3 backlog, prioritization, and monitoring","NOT_ACTIVATED","Phase 3 activation depends on completed Phase 2 plus verified measurement/indexing data.","Phase 2 is not complete under the strict gate rule.","Strict report supersedes previous partial-complete wording."
