"url","type","submitted","repository_indexable","live_index_status","priority_issue","repair_action"
"/","homepage","yes","yes","unknown","owner phone and analytics blocked","strengthen internal support and manual inspection queue"
"/services/24-hour-emergency-plumber","service","yes","yes","unknown","high emergency intent","strengthen internal support and manual inspection queue"
"/services/emergency-drain-cleaning","service","yes","yes","unknown","high drain intent","strengthen internal support and manual inspection queue"
"/services/main-sewer-line-clog","service","yes","yes","unknown","high sewer intent","strengthen internal support and manual inspection queue"
"/cost-guides/emergency-plumbing-cost-dfw","cost","yes","yes","unknown","pricing-intent support","strengthen internal support and manual inspection queue"
"/cost-guides/drain-cleaning-cost-dfw","cost","yes","yes","unknown","pricing-intent support","strengthen internal support and manual inspection queue"
"/problems/water-backing-up-in-shower-and-toilet","problem","yes","yes","unknown","urgent sewer symptom","strengthen internal support and manual inspection queue"
"/problems/water-shutoff-valve-will-not-close","problem","yes","yes","unknown","leak/shutoff cluster","strengthen internal support and manual inspection queue"
"/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","guide","yes","yes","unknown","linkable decision support","strengthen internal support and manual inspection queue"
"/blog/water-shutoff-valve-will-not-close-during-a-leak","guide","yes","yes","unknown","owner-useful checklist","strengthen internal support and manual inspection queue"
