"url","issue","detail","priority"
"/","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","duplicate brand in title","24-Hour Plumber in Plano: When the Problem Cannot Wait | Plumbing Hands | Plumbing Hands","P2"
"/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","duplicate brand in title","Bathtub Backing Up When Toilet Flushes: What Causes It | Plumbing Hands | Plumbing Hands","P2"
"/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","duplicate brand in title","Best Questions to Ask Before You Book an Emergency Plumber | Plumbing Hands | Plumbing Hands","P2"
"/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/burst-pipe-in-dallas-what-to-shut-off-first","duplicate brand in title","Burst Pipe in Dallas: What to Shut Off First | Plumbing Hands | Plumbing Hands","P2"
"/blog/burst-pipe-in-dallas-what-to-shut-off-first","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/burst-pipe-in-dallas-what-to-shut-off-first","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/commercial-drain-backup-what-business-owners-should-do-first","duplicate brand in title","Commercial Drain Backup: What Business Owners Should Do First | Plumbing Hands | Plumbing Hands","P2"
"/blog/commercial-drain-backup-what-business-owners-should-do-first","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/commercial-drain-backup-what-business-owners-should-do-first","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","duplicate brand in title","Dallas Hard Water and Drain Problems: What Homeowners Should Know | Plumbing Hands | Plumbing Hands","P2"
"/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","duplicate brand in title","Dallas Storms and Sewer Backups: What to Check After Heavy Rain | Plumbing Hands | Plumbing Hands","P2"
"/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/drain-cleaning-cost-guide-for-dallas-homeowners","duplicate brand in title","Drain Cleaning Cost Guide for Dallas Homeowners | Plumbing Hands | Plumbing Hands","P2"
"/blog/drain-cleaning-cost-guide-for-dallas-homeowners","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/drain-cleaning-cost-guide-for-dallas-homeowners","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","duplicate brand in title","Drain Smell in Bathroom: Sewer Gas or Simple Clog | Plumbing Hands | Plumbing Hands","P2"
"/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","duplicate brand in title","Emergency Drain Cleaning Cost in Dallas: What Affects the Price | Plumbing Hands | Plumbing Hands","P2"
"/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","duplicate brand in title","Emergency Drain Cleaning in Fort Worth: Fast Homeowner Guide | Plumbing Hands | Plumbing Hands","P2"
"/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","missing social preview image metadata","No og:image/twitter:image found","P3"
"/blog/emergency-drain-cleaning-in-frisco-what-to-expect","duplicate brand in title","Emergency Drain Cleaning in Frisco: What to Expect | Plumbing Hands | Plumbing Hands","P2"
"/blog/emergency-drain-cleaning-in-frisco-what-to-expect","duplicate exact meta description","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","P2"
"/blog/emergency-drain-cleaning-in-frisco-what-to-expect","missing social preview image metadata","No og:image/twitter:image found","P3"
