"Criterion","Score Range","Pass Threshold","Auto Reject Condition","Owner Verification Needed","Notes"
"Topical relevance","0-10","7","Unrelated to plumbing, home services, emergency preparedness, DFW homeowner topics, property management, or local safety","No","Must make sense for a real reader."
"Local relevance","0-10","5","Claims a fake local address, office, or service area","Yes if local claim is used","Local relevance is helpful but must be truthful."
"Genuine audience","0-10","7","No real readership or made-for-links page","No","Reject empty directories and thin link pages."
"Editorial justification","0-10","8","Paid insertion, link exchange, or unexplained exact-match anchor","Yes for any partnership","Must be editorially useful."
"Page-level relevance","0-10","7","Link appears on irrelevant page or unrelated list","No","Page context matters more than domain name."
"Referral traffic potential","0-10","5","No plausible visitors","No","Traffic does not need to be large but should be real."
"Lead potential","0-10","4","Audience cannot reasonably need emergency plumbing help","No","Lead potential is secondary to relevance."
"Domain cleanliness","0-10","8","PBN, link farm, malware, scraped site, spam outbound pattern","No","Reject if spam pattern is visible."
"Outbound-link quality","0-10","7","Casino/adult/payday/pharma/link package footprint or excessive unrelated outbound links","No","Manual review required."
"Natural anchor suitability","0-10","8","Exact-match money anchor demanded","No","Prefer brand, URL, resource title, or natural sentence anchors."
"Permanence","0-10","5","Temporary paid rental link","Yes if contract exists","Do not buy permanence."
"Owner verification needs","0-10","10","Requires unverified license, insurance, office, review, response time, or pricing claim","Yes","No proof means no claim."
