"URL","page type","title","meta description","H1","canonical","robots status","schema types","word count","internal inlinks","internal outlinks","primary CTA","phone link presence","sitemap inclusion","indexability","last modified source","quality concerns"
"/","homepage","Emergency plumbing help across Dallas-Fort Worth | Plumbing Hands","Request urgent plumbing help across Dallas-Fort Worth for drain, sewer, pipe, toilet, and water-heater problems.","Emergency Plumbing Help Across Dallas-Fort Worth","https://plumbinghands.com","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","1256","111","37","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","no live tel link until owner supplies phone; missing social image metadata"
"/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","article","24-Hour Plumber in Plano: When the Problem Cannot Wait | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","24-Hour Plumber in Plano: When the Problem Cannot Wait","https://plumbinghands.com/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","619","0","25","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","article","Bathtub Backing Up When Toilet Flushes: What Causes It | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Bathtub Backing Up When Toilet Flushes: What Causes It","https://plumbinghands.com/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","623","0","25","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","article","Best Questions to Ask Before You Book an Emergency Plumber | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Best Questions to Ask Before You Book an Emergency Plumber","https://plumbinghands.com/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","622","0","24","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/burst-pipe-in-dallas-what-to-shut-off-first","article","Burst Pipe in Dallas: What to Shut Off First | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Burst Pipe in Dallas: What to Shut Off First","https://plumbinghands.com/blog/burst-pipe-in-dallas-what-to-shut-off-first","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","621","0","24","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/commercial-drain-backup-what-business-owners-should-do-first","article","Commercial Drain Backup: What Business Owners Should Do First | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Commercial Drain Backup: What Business Owners Should Do First","https://plumbinghands.com/blog/commercial-drain-backup-what-business-owners-should-do-first","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","619","0","24","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","article","Dallas Hard Water and Drain Problems: What Homeowners Should Know | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Dallas Hard Water and Drain Problems: What Homeowners Should Know","https://plumbinghands.com/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","622","0","24","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","article","Dallas Storms and Sewer Backups: What to Check After Heavy Rain | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Dallas Storms and Sewer Backups: What to Check After Heavy Rain","https://plumbinghands.com/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","623","0","25","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/drain-cleaning-cost-guide-for-dallas-homeowners","article","Drain Cleaning Cost Guide for Dallas Homeowners | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Drain Cleaning Cost Guide for Dallas Homeowners","https://plumbinghands.com/blog/drain-cleaning-cost-guide-for-dallas-homeowners","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","613","0","24","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","article","Drain Smell in Bathroom: Sewer Gas or Simple Clog | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Drain Smell in Bathroom: Sewer Gas or Simple Clog","https://plumbinghands.com/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","617","0","24","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","article","Emergency Drain Cleaning Cost in Dallas: What Affects the Price | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Emergency Drain Cleaning Cost in Dallas: What Affects the Price","https://plumbinghands.com/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","622","0","24","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","article","Emergency Drain Cleaning in Fort Worth: Fast Homeowner Guide | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Emergency Drain Cleaning in Fort Worth: Fast Homeowner Guide","https://plumbinghands.com/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","623","0","25","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/emergency-drain-cleaning-in-frisco-what-to-expect","article","Emergency Drain Cleaning in Frisco: What to Expect | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Emergency Drain Cleaning in Frisco: What to Expect","https://plumbinghands.com/blog/emergency-drain-cleaning-in-frisco-what-to-expect","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","614","0","24","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/emergency-plumber-in-plano-when-to-call-now","article","Emergency Plumber in Plano: When to Call Now | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Emergency Plumber in Plano: When to Call Now","https://plumbinghands.com/blog/emergency-plumber-in-plano-when-to-call-now","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","616","0","24","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata; orphan page"
"/blog/emergency-plumber-near-me-open-now-what-to-do-before-help-arrives","article","Emergency Plumber Near Me Open Now: What to Do Before Help Arrives | Plumbing Hands | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","Emergency Plumber Near Me Open Now: What to Do Before Help Arrives","https://plumbinghands.com/blog/emergency-plumber-near-me-open-now-what-to-do-before-help-arrives","index/follow by default; robots.txt allows /","Organization|WebPage|BreadcrumbList|FAQPage","628","29","23","Request Emergency Help","no active tel link; CTA falls back to /contact while phone placeholder remains","yes","indexable","2026-07-12T15:04:52.184Z","duplicate brand in title; missing social image metadata"
