"URL","original status","decision","parent topic","source page receiving link","anchor text","target page","redirect destination if any","sitemap status","final crawl depth","validation result","notes"
"/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","24-Hour Plumber in Plano: When the Problem Cannot Wait","/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Bathtub Backing Up When Toilet Flushes: What Causes It","/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Best Questions to Ask Before You Book an Emergency Plumber","/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/burst-pipe-in-dallas-what-to-shut-off-first","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Burst Pipe in Dallas: What to Shut Off First","/blog/burst-pipe-in-dallas-what-to-shut-off-first","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/commercial-drain-backup-what-business-owners-should-do-first","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Commercial Drain Backup: What Business Owners Should Do First","/blog/commercial-drain-backup-what-business-owners-should-do-first","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Dallas Hard Water and Drain Problems: What Homeowners Should Know","/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Dallas Storms and Sewer Backups: What to Check After Heavy Rain","/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/drain-cleaning-cost-guide-for-dallas-homeowners","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Drain Cleaning Cost Guide for Dallas Homeowners","/blog/drain-cleaning-cost-guide-for-dallas-homeowners","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Drain Smell in Bathroom: Sewer Gas or Simple Clog","/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Emergency Drain Cleaning Cost in Dallas: What Affects the Price","/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Emergency Drain Cleaning in Fort Worth: Fast Homeowner Guide","/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
