"Source URL","Target URL","Anchor Text","Link Location","Topic Cluster","User Purpose","Link Added or Updated","Validation Status","Notes"
"/services/24-hour-emergency-plumber","/cost-guides/emergency-plumbing-cost-dfw","Emergency plumbing cost factors","Related resources","Emergency plumbing","Compare cost factors before approving work.","Added","Build passed","Selected-page enhancement link."
"/services/24-hour-emergency-plumber","/problems/burst-pipe-first-steps","Burst pipe first steps","Related resources","Emergency plumbing","Move active leak users to immediate shutoff guidance.","Added","Build passed","Selected-page enhancement link."
"/services/24-hour-emergency-plumber","/problems/toilet-overflowing-will-not-stop","Toilet overflow steps","Related resources","Emergency plumbing","Route toilet emergency users to specific first steps.","Added","Build passed","Selected-page enhancement link."
"/services/emergency-drain-cleaning","/cost-guides/drain-cleaning-cost-dfw","Drain cleaning cost factors","Related resources","Drain cleaning","Help users compare drain scope and costs.","Added","Build passed","Selected-page enhancement link."
"/services/emergency-drain-cleaning","/problems/kitchen-sink-backing-up","Kitchen sink backing up","Related resources","Drain cleaning","Route fixture-specific drain users to the right problem guide.","Added","Build passed","Selected-page enhancement link."
"/services/emergency-drain-cleaning","/problems/water-backing-up-in-shower-and-toilet","Water backing up in shower and toilet","Related resources","Drain cleaning","Route possible main-line symptoms to problem guidance.","Added","Build passed","Selected-page enhancement link."
"/problems/water-backing-up-in-shower-and-toilet","/services/main-sewer-line-clog","Main sewer line clog service","Related resources","Sewer help","Connect high-risk symptoms to service page.","Added","Build passed","Selected-page enhancement link."
"/problems/water-backing-up-in-shower-and-toilet","/cost-guides/sewer-line-clog-cost-guide","Sewer line clog cost guide","Related resources","Sewer help","Support cost research for likely sewer-line issue.","Added","Build passed","Selected-page enhancement link."
"/cost-guides/emergency-plumbing-cost-dfw","/services/24-hour-emergency-plumber","24-hour emergency plumber","Related resources","Emergency plumbing","Route cost researcher to service action page.","Added","Build passed","Selected-page enhancement link."
"/cities/dallas/emergency-drain-cleaning","/cost-guides/drain-cleaning-cost-dfw","Drain cleaning cost in DFW","Related resources","Dallas drain cleaning","Support local cost research from city-service page.","Added","Build passed","Selected-page enhancement link."
"sitewide related resources","/disclosure","Disclosure","Generic related resources","Legal","Removed legal page from generic related-resource cluster; footer still links legal page.","Updated","Build passed","Improves user-purpose relevance."
