"target","type","status","anchor_rule","notes"
"citation-1","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-2","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-3","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-4","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-5","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-6","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-7","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-8","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-9","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-10","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-11","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-12","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-13","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-14","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-15","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-16","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-17","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-18","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-19","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-20","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-21","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-22","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-23","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-24","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-25","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-26","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-27","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-28","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-29","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-30","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-31","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-32","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-33","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-34","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-35","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-36","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-37","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-38","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-39","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-40","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-41","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-42","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-43","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-44","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-45","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-46","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-47","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-48","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-49","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-50","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-51","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-52","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-53","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-54","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-55","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-56","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-57","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-58","home-service directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-59","local business directory","manual review required","brand or URL anchor","No fake address or fake GBP"
"citation-60","trade directory","manual review required","brand or URL anchor","No fake address or fake GBP"
