"url","AEO direct answer included","Question-based headings included","FAQ block included","FAQ schema included","Emergency steps included","Cost answer included where relevant","Local answer included","Internal links included","CTA included","AEO quality score"
"/","yes","yes","yes","yes","yes","not applicable","yes","yes","yes","9"
"/faq","yes","yes","yes","yes","yes","not applicable","yes","yes","yes","9"
"/contact","yes","yes","yes","yes","yes","not applicable","yes","yes","yes","9"
"/partner-with-us","yes","yes","yes","yes","yes","not applicable","yes","yes","yes","9"
"/privacy","yes","yes","not applicable","not applicable","yes","not applicable","yes","yes","yes","8"
"/terms","yes","yes","not applicable","not applicable","yes","not applicable","yes","yes","yes","8"
"/disclosure","yes","yes","not applicable","not applicable","yes","not applicable","yes","yes","yes","9"
"/services/24-hour-emergency-plumber","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/services/emergency-drain-cleaning","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/services/main-sewer-line-clog","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/services/toilet-overflow-emergency","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/services/burst-pipe-emergency","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/services/water-heater-emergency","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/services/sewer-backup-help","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/services/commercial-emergency-plumbing","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/services/same-day-plumber-connection","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/services/sink-and-shower-drain-backup","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/cities/dallas","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/cities/fort-worth","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/cities/arlington","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/cities/plano","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/cities/irving","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/cities/garland","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/cities/frisco","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/cities/mckinney","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
"/cities/denton","yes","yes","yes","yes","yes","yes","yes","yes","yes","9"
