"URL","Page Type","Primary Intent","Commercial Intent Score","Search Intent Score","Topical Completeness Score","Direct Answer Score","EEAT Score","Local Relevance Score","Conversion Score","Internal Link Score","Metadata Score","Schema Score","Mobile Score","Accessibility Score","Originality Score","Decision Usefulness Score","Truthfulness Score","Total Score","Improvement Potential","Business Priority","Known Issue","Recommended Action","Selected For Upgrade","Evidence Notes"
"/","Homepage","Emergency plumbing request entry","9","8","10","6","8","9","8","10","8","10","8","8","8","8","9","127","Medium","High","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Emergency Plumbing Help Across Dallas-Fort Worth"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=72, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/24-hour-emergency-plumber","Primary service page","Emergency service selection","9","8","10","9","9","7","8","10","8","10","8","8","8","9","9","130","High","High","High-value page had useful basics but needed deeper decision support, E-E-A-T, FAQs, and related-resource routing.","Selected and upgraded in Day 2 Session 1.","yes","Built HTML evidence: h1=""24-hour emergency plumber in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/burst-pipe-emergency","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""burst pipe emergency in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/commercial-emergency-plumbing","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""commercial emergency plumbing in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/emergency-drain-cleaning","Primary service page","Urgent drain service selection","9","8","10","9","9","7","8","10","8","10","8","8","8","9","9","130","High","High","High-value page had useful basics but needed deeper decision support, E-E-A-T, FAQs, and related-resource routing.","Selected and upgraded in Day 2 Session 1.","yes","Built HTML evidence: h1=""emergency drain cleaning in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/main-sewer-line-clog","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""main sewer line clog in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/same-day-plumber-connection","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""same-day plumber connection in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/sewer-backup-help","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""sewer backup help in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/sink-and-shower-drain-backup","Primary service page","Urgent drain service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""sink and shower drain backup in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/toilet-overflow-emergency","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""toilet overflow emergency in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
