"Event Name","Trigger","Parameters","PII Policy","Destination","Production Readiness","Notes"
"phone_click","Generic or homepage CTA click","eventName, location, ctaLocation, pagePath, pageType, service, city, problem, deviceContext","No submitted PII","/api/call-event","Ready; phone placeholder remains","Falls back to /contact until phone configured."
"sticky_call_click","Mobile sticky CTA click","same as phone_click","No submitted PII","/api/call-event","Ready; phone placeholder remains","Identifies sticky mobile location."
"header_call_click","Header CTA click","same as phone_click","No submitted PII","/api/call-event","Ready; phone placeholder remains","Identifies global header location."
"service_page_call","Service page CTA click","same plus service","No submitted PII","/api/call-event","Ready; phone placeholder remains","Used on service templates."
"city_page_call","City or city-service CTA click","same plus city/service","No submitted PII","/api/call-event","Ready; phone placeholder remains","Used on city and city-service templates."
"emergency_page_call","Problem page CTA click","same plus problem/service","No submitted PII","/api/call-event","Ready; phone placeholder remains","Used for emergency problem intent."
"cost_page_call","Cost guide CTA click","same plus service","No submitted PII","/api/call-event","Ready; phone placeholder remains","Used for cost guide CTAs."
"contact_form_start","First focus inside LeadForm","eventName, location, ctaLocation, pagePath, pageType, service, city, deviceContext","No name, phone, or message","/api/call-event","Ready","Measures form engagement."
"contact_form_submit","LeadForm submit attempt","eventName, location, ctaLocation, pagePath, pageType, service, city, deviceContext","No name, phone, or message","/api/call-event","Ready","Measures submit attempt separately from lead validation."
"email_click","Future email link click if an approved email link is added","same as phone_click","No submitted PII","/api/call-event","Reserved","No public email link currently added."
"partner_route_click","Tracked footer partner link","eventName, ctaLocation, pagePath, pageType, deviceContext","No submitted PII","/api/call-event","Ready","Routes provider inquiries to /partner-with-us."
