"city","priority","unique_value_status","current_action","notes"
"Dallas","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Fort Worth","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Arlington","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Plano","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Irving","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Garland","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Frisco","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"McKinney","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Denton","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Lewisville","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Carrollton","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
"Richardson","P1","improved/monitored","short disclosure refinement and existing city enhancement retained","No fake office, address, license, exact price, rating, review, or response-time claim added."
