"page_type","path_or_pattern","status","notes"
"homepage","/","complete","Brand, market, CTAs, direct answer, service/city navigation, disclosure, form"
"contact","/contact","complete","Contact CTA and lead form foundation"
"partner","/partner-with-us","complete","Partner intake foundation"
"privacy","/privacy","complete","Legal page"
"terms","/terms","complete","Legal page"
"disclosure","/disclosure","complete","Lead-generation disclosure page"
"faq","/faq","complete","FAQ foundation"
"service","/services/24-hour-emergency-plumber","complete","Main Day 1 service"
"service","/services/emergency-drain-cleaning","complete","Main Day 1 service"
"service","/services/main-sewer-line-clog","complete","Main Day 1 service"
"service","/services/toilet-overflow-emergency","complete","Main Day 1 service"
"service","/services/burst-pipe-emergency","complete","Main Day 1 service"
"service","/services/water-heater-emergency","complete","Main Day 1 service"
"service","/services/sewer-backup-help","complete","Main Day 1 service"
"service","/services/commercial-emergency-plumbing","complete","Main Day 1 service"
"service","/services/same-day-plumber-connection","complete","Additional foundation service"
"service","/services/sink-and-shower-drain-backup","complete","Additional foundation service"
"city","/cities/[citySlug]","complete","16 Dallas-Fort Worth city pages generated from config"
"city_service","/cities/[citySlug]/[serviceSlug]","complete","160 city plus service pages generated from config"
"problem","/problems/[problemSlug]","existing","Do not expand until Day 2"
"cost_guide","/cost-guides/[guideSlug]","existing","Do not expand until Day 2"
"blog","/blog/[postSlug]","existing","Do not expand until Day 2"
"api","/api/lead","complete","Safe placeholder lead intake"
"api","/api/call-event","complete","Safe placeholder call-click logging"
"robots","/robots.txt","live","Uses plumbinghands.com sitemap"
"sitemap","/sitemap.xml","live","Canonical plumbinghands.com URLs"
