"url","issue","detail","priority","owner_action_required"
"/","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/burst-pipe-in-dallas-what-to-shut-off-first","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/burst-pipe-in-dallas-what-to-shut-off-first","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/commercial-drain-backup-what-business-owners-should-do-first","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/commercial-drain-backup-what-business-owners-should-do-first","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/drain-cleaning-cost-guide-for-dallas-homeowners","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/drain-cleaning-cost-guide-for-dallas-homeowners","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
