"path","source_expected","live_sitemap","sampled_live","live_status","final_url","title","meta_description","canonical","h1","h1_count","schema_types","old_copy_hits","internal_link_count","result"
"/","yes","yes","yes","200","https://www.plumbinghands.com/","Emergency plumbing help across Dallas-Fort Worth","Request urgent plumbing help across Dallas-Fort Worth for drain, sewer, pipe, toilet, and water-heater problems.","https://plumbinghands.com","Emergency Plumbing Help Across Dallas-Fort Worth","1","BreadcrumbList|FAQPage|Organization|WebPage","No unverified local-office claims|Original safety-first copy|Fast local structure|No unverified local address claims","78","LIVE_OLD_COPY_REVIEW"
"/blog","yes","yes","yes","200","https://www.plumbinghands.com/blog","Emergency plumbing guides | Plumbing Hands","Practical emergency plumbing, drain, sewer, cost, and decision guides for Dallas-Fort Worth homeowners.","https://plumbinghands.com/blog","Emergency plumbing guides","1","BreadcrumbList|FAQPage|Organization|WebPage","","75","SAMPLED_OK"
"/blog/24-hour-plumber-in-plano-when-the-problem-cannot-wait","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/bathtub-backing-up-when-toilet-flushes-what-causes-it","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/burst-pipe-in-dallas-what-to-shut-off-first","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/commercial-drain-backup-what-business-owners-should-do-first","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/dallas-hard-water-and-drain-problems-what-homeowners-should-know","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/dallas-storms-and-sewer-backups-what-to-check-after-heavy-rain","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/drain-cleaning-cost-guide-for-dallas-homeowners","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/drain-smell-in-bathroom-sewer-gas-or-simple-clog","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/emergency-drain-cleaning-cost-in-dallas-what-affects-the-price","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/emergency-drain-cleaning-in-frisco-what-to-expect","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/emergency-leak-approval-checklist-for-homeowners","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/emergency-plumber-in-plano-when-to-call-now","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/emergency-plumber-near-me-open-now-what-to-do-before-help-arrives","yes","yes","yes","200","https://www.plumbinghands.com/blog/emergency-plumber-near-me-open-now-what-to-do-before-help-arrives","Emergency Plumber Near Me Open Now: What to Do Before Help Arrives | Plumbing Hands","Fast action starts with stopping water use where safe, identifying the affected fixture, and calling a local provider connection when the issue risks damage, contamination, or loss of essential plumbing.","https://plumbinghands.com/blog/emergency-plumber-near-me-open-now-what-to-do-before-help-arrives","Emergency Plumber Near Me Open Now: What to Do Before Help Arrives","1","Article|BreadcrumbList|FAQPage|Organization|WebPage","","44","SAMPLED_OK"
"/blog/emergency-plumber-vs-regular-plumber-what-is-the-difference","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/emergency-plumbing-cost-guide-for-dallas-homeowners","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/emergency-plumbing-in-arlington-tx-common-night-and-weekend-problems","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/emergency-sewer-help-in-garland-signs-and-next-steps","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/how-long-should-emergency-drain-cleaning-take","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/how-to-know-if-a-clogged-drain-is-actually-a-sewer-line-problem","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/kitchen-sink-backing-up-in-dallas-signs-you-need-drain-help","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/main-sewer-line-clogged-in-dallas-warning-signs-and-fast-options","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/roto-rooter-vs-local-emergency-plumber-in-dallas-which-should-you-call","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/same-day-drain-cleaning-in-dallas-what-to-expect","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/sewer-backup-in-fort-worth-what-it-means-and-who-to-call","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/signs-your-main-drain-needs-same-day-service","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/toilet-overflowing-at-night-in-dallas-fast-steps-for-homeowners","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/toilet-shower-and-sink-backing-up-together-what-it-means","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/water-heater-leaking-in-dallas-emergency-signs-to-watch","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/water-shutoff-valve-will-not-close-during-a-leak","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/blog/what-counts-as-a-plumbing-emergency","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/cities","yes","yes","yes","200","https://www.plumbinghands.com/cities","Dallas-Fort Worth plumbing service areas | Plumbing Hands","Browse Dallas-Fort Worth service-area pages for emergency plumbing, drain, sewer, leak, toilet, and water-heater help.","https://plumbinghands.com/cities","Emergency plumbing help by DFW location","1","BreadcrumbList|Organization|WebPage","No unverified local-office claims","66","LIVE_OLD_COPY_REVIEW"
"/cities/allen","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/cities/arlington","yes","yes","yes","200","https://www.plumbinghands.com/cities/arlington","Emergency plumbing help in Arlington, TX | Plumbing Hands","Request emergency plumbing and drain cleaning help serving Arlington, TX with clear service-area guidance.","https://plumbinghands.com/cities/arlington","Emergency plumbing help in Arlington","1","BreadcrumbList|FAQPage|Organization|WebPage","","60","SAMPLED_OK"
"/cities/arlington/24-hour-emergency-plumber","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/cities/arlington/emergency-drain-cleaning","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/cities/bedford","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/cities/carrollton","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
"/cities/cedar-hill","yes","yes","no","","","","","","","","","","","INVENTORY_OK_NOT_SAMPLED"
